0	1	2
moins cher	0	0	1
encourag	0	0	1
gai	0	0	1
cher	1	0	0
cherubin	0	0	1
chic	0	0	1
chevaleresqu	0	0	1
chevaler	0	0	1
civil	0	0	1
civilis	0	0	1
clart	0	0	1
class	0	0	1
pas class	1	0	0
nettoi	0	0	1
propr	0	0	1
propret	0	0	1
clair	0	0	1
coherent	0	0	1
cohes	0	0	1
color	0	0	1
confort	0	0	1
reconfort	0	0	1
felicit	0	0	1
louabl	0	0	1
commod	0	0	1
compact	0	0	1
compass	0	0	1
compatibl	0	0	1
compl	0	0	1
gratuit	0	0	1
concili	0	0	1
conc	0	0	1
confianc	0	0	1
confi	0	0	1
sympath	0	0	1
conscienci	0	0	1
conform	0	0	1
construct	0	0	1
content	0	0	1
convient	0	0	1
convaincr	0	0	1
convainc	0	0	1
cool	0	0	1
pas cool	1	0	0
cooper	0	0	1
correct	0	0	1
rentabl	0	0	1
courag	0	0	1
courtois	0	0	1
allianc	0	0	1
createur	0	0	1
innov	0	0	1
creatric	0	0	1
credibil	0	0	1
croustill	0	0	1
best	0	0	1
lov	0	0	1
rock	0	0	1
mignon	0	0	1
gentilless	0	0	1
audaci	1	0	0
intrepid	0	0	1
aub	0	0	1
eblou	0	0	1
pas cher	0	0	1
decenc	0	0	1
decent	0	0	1
deferent	0	0	1
delect	0	0	1
delicatess	0	0	1
delicat	1	0	0
delici	0	0	1
delic	0	0	1
rav	0	0	1
envout	0	0	1
fiabl	0	0	1
merit	0	0	1
souhait	0	0	1
desir	0	0	1
dexter	0	0	1
dign	0	0	1
dignit	0	0	1
diplomat	0	0	1
diversifi	0	0	1
divin	0	0	1
dot	0	0	1
dreamland	0	0	1
merveil	0	0	1
durabl	0	0	1
dynam	0	0	1
avec impatient	0	0	1
sincer	0	0	1
serieux	0	0	1
pas serieux	1	0	0
facilit	0	0	1
assoupl	0	0	1
plus facil	0	0	1
facil	0	0	1
facil a utilis	0	0	1
exuber	0	0	1
econom	0	0	1
extas	0	0	1
extat	0	0	1
eduqu	0	0	1
efficac	0	0	1
exalt	0	0	1
eleg	0	0	1
bien elev	0	0	1
mal elev	1	0	0
elit	0	0	1
eloquent	0	0	1
eminent	0	0	1
empath	0	0	1
enchant	0	0	1
enchanteur	0	0	1
aim	0	0	1
attach	0	0	1
endoss	0	0	1
energ	0	0	1
dynamis	0	0	1
econom d'energ	0	0	1
engag	0	0	1
amelior	0	0	1
jouiss	0	0	1
jou	0	0	1
benefic	0	0	1
eclair	0	0	1
illumin	0	0	1
suffis	0	0	1
enrich	0	0	1
rich	0	0	1
divert	0	0	1
passion	0	0	1
enthousiasm	0	0	1
enthousiast	0	0	1
attir	0	0	1
enviabl	0	0	1
envi	0	0	1
equit	0	0	1
ergonom	0	0	1
ethiqu	0	0	1
elog	0	0	1
euphor	0	0	1
mouvement	0	0	1
exemplair	0	0	1
excellent	0	0	1
superieur	0	0	1
excel	0	0	1
exceptionnel	0	0	1
excit	0	0	1
emoustill	0	0	1
gris	0	0	1
rapid	0	0	1
expert	0	0	1
exquis	0	0	1
extraordinair	0	0	1
triomphal	0	0	1
fabul	0	0	1
just	0	0	1
assez	0	0	1
foi	0	0	1
fidel	0	0	1
renomm	0	0	1
amateur	1	0	0
fantast	0	0	1
fascin	0	0	1
plus rapid	0	0	1
sans faill	0	0	1
faveur	0	0	1
favor	0	0	1
favoris	0	0	1
faisabl	0	0	1
exploit	1	0	0
rich en fonctionnal	0	0	1
fougueux	0	0	1
heureux	0	0	1
fertil	0	0	1
fervent	0	0	1
avec ferveur	0	0	1
ferveur	0	0	1
festif	0	0	1
festiv	0	0	1
fin	0	0	1
premi class	0	0	1
entre de gamm	1	0	0
haut gamm	0	0	1
flatt	1	0	0
flatteur	1	0	0
flatteux	0	0	1
impecc	0	0	1
parfait	0	0	1
soupless	0	0	1
soupl	0	0	1
epanou	0	0	1
flor	0	0	1
pench	0	0	1
infaillibl	0	0	1
prevoi	0	0	1
formid	0	0	1
forc	1	0	0
chanc	0	0	1
fortun	0	0	1
parfum	0	0	1
liber	0	0	1
libert	0	0	1
fraicheur	0	0	1
convivial	0	0	1
amical	0	0	1
fructueux	0	0	1
ftw	0	0	1
gaiet	0	0	1
gagn	0	0	1
remuner	0	0	1
gain	0	0	1
gal	0	0	1
geek	0	0	1
bijou	0	0	1
gemm	0	0	1
perl	0	0	1
perl rar	0	0	1
generos	0	0	1
gen	1	0	0
douc	0	0	1
doux	0	0	1
dou	0	0	1
rejou	0	0	1
allegress	0	0	1
glamour	0	0	1
allegr	0	0	1
lueur	0	0	1
scintill	0	0	1
luis	0	0	1
paillet	0	0	1
glorifi	0	0	1
glorieux	0	0	1
gloir	0	0	1
rougeoi	0	0	1
bon	0	0	1
beau	0	0	1
bont	0	0	1
grac	0	0	1
gracieux	0	0	1
grand	0	0	1
grandeur	0	0	1
gratitud	0	0	1
gratif	0	0	1
satisf	0	0	1
gratifi	0	0	1
satisfair	0	0	1
grin	0	0	1
garant	0	0	1
innocent	0	0	1
sanctifi	0	0	1
maniabl	0	0	1
grass	0	0	1
pratiqu	0	0	1
bonheur	0	0	1
plus resist	0	0	1
resist	0	0	1
harmoni	0	0	1
harmonis	0	0	1
harmon	0	0	1
progress	0	0	1
sain	0	0	1
sant	0	0	1
don du courag	0	0	1
don le courag	0	0	1
chaleur	0	0	1
ciel	0	0	1
celest	0	0	1
util	0	0	1
aid	0	0	1
heros	0	0	1
heroiqu	0	0	1
heroin	0	0	1
herois	0	0	1
bon qualit	0	0	1
mauvais qualit	1	0	0
qualit moyen	1	0	0
hilar	0	0	1
hommag	0	0	1
honnet	0	0	1
honnetet	0	0	1
honor	0	0	1
esper	0	0	1
accueil	0	0	1
etreindr	0	0	1
inhumain	1	0	0
humbl	1	0	0
humour	0	0	1
humorist	0	0	1
ideal	0	0	1
idealis	0	0	1
idol	0	0	1
illustr	0	0	1
immacul	0	0	1
immens	0	0	1
impartial	0	0	1
incroi	0	0	1
indulgent	0	0	1
peu couteux	0	0	1
tres couteux	1	0	0
infaillibil	0	0	1
influent	0	0	1
ingeni	0	0	1
ingenios	0	0	1
ingenu	1	0	0
naif	1	0	0
naivet	1	0	0
perspicac	0	0	1
inspir	0	0	1
instruct	0	0	1
intelligent	0	0	1
intelligibl	0	0	1
interess	1	0	0
interet	0	0	1
intim	0	0	1
intrigu	1	0	0
intrig	1	0	0
curieux	0	0	1
intuit	0	0	1
invincibl	0	0	1
inviol	0	0	1
invulner	0	0	1
irresistibl	0	0	1
joi	0	0	1
jubilatoir	0	0	1
jubil	0	0	1
jubili	0	0	1
judici	0	0	1
viv	0	0	1
connaisseur	0	0	1
grand capac	0	0	1
somptueux	0	0	1
respect la loi	0	0	1
legal	0	0	1
illegal	1	0	0
legeret	0	0	1
liberat	0	0	1
sauveteur	0	0	1
sauv	0	0	1
anim	0	0	1
faibl cout	0	0	1
bas prix	0	0	1
bon prix	0	0	1
faibl risqu	0	0	1
loyaut	0	0	1
lucid	0	0	1
plus de chanc	0	0	1
chanceux	0	0	1
luxuri	0	0	1
lustr	0	0	1
luxueux	0	0	1
lyriqu	0	0	1
magiqu	0	0	1
mag	0	0	1
magnificent	0	0	1
majestu	0	0	1
majest	0	0	1
gerabl	0	0	1
maitr	0	0	1
chef d'oeuvr	0	0	1
chef d'Suvr	0	0	1
maitris	0	0	1
inegal	1	0	0
mur	0	0	1
matur	0	0	1
signif	0	0	1
memor	0	0	1
misericordi	0	0	1
merc	0	0	1
meritoir	0	0	1
meticul	0	0	1
puissanc	0	0	1
puiss	0	0	1
hallucin	0	0	1
miracl	0	0	1
miracul	0	0	1
modern	0	0	1
modest	0	0	1
monumental	0	0	1
motiv	0	0	1
polyvalent	0	0	1
navig	0	0	1
bien	0	0	1
nobl	0	0	1
nouveaut	0	0	1
oasis	0	0	1
ouvert	0	0	1
ouvertur d'esprit	0	0	1
optimal	0	0	1
optim	0	0	1
original	0	0	1
bien organis	0	0	1
mal organis	1	0	0
surperform	0	0	1
surp	0	0	1
perform	0	0	1
sans douleur	0	0	1
indolor	0	0	1
panoram	0	0	1
parad	0	0	1
patienc	0	0	1
patient	0	0	1
patriot	0	0	1
paix	0	0	1
pacif	0	0	1
parf	0	0	1
perfect	0	0	1
admissibl	0	0	1
inadmissibl	1	0	0
persever	0	0	1
personnag	0	0	1
personnalis	0	0	1
phenomenal	0	0	1
pittoresqu	0	0	1
piet	0	0	1
sommet	0	0	1
ludiqu	0	0	1
plait	0	0	1
plais	0	0	1
atout	0	0	1
poetiqu	0	0	1
poign	0	0	1
pol	0	0	1
politess	0	0	1
populair	0	0	1
portabl	0	0	1
posit	0	0	1
louang	0	0	1
lou	0	0	1
precieux	0	0	1
precis	0	0	1
prefer	0	0	1
preferent	0	0	1
prestig	0	0	1
prestigi	0	0	1
fiert	0	0	1
privileg	0	0	1
privilegi	0	0	1
sans problem	0	0	1
problem resolu	0	0	1
prodigi	0	0	1
prodig	0	0	1
product	0	0	1
competent	0	0	1
profond	0	0	1
progres	0	0	1
prolif	0	0	1
proeminent	0	0	1
promet	0	0	1
prometteur	0	0	1
propic	0	0	1
prosper	0	0	1
proteg	0	0	1
protect	0	0	1
fi	0	0	1
prouess	0	0	1
prudenc	0	0	1
prudent	0	0	1
ponctuel	0	0	1
pur	0	0	1
purifi	0	0	1
deliber	0	0	1
tranquill	0	0	1
deplac	1	0	0
rayon	0	0	1
rationnel	0	0	1
lisibl	0	0	1
ais	0	0	1
raison	0	0	1
rassur	0	0	1
recept	0	0	1
recuper	0	0	1
recommand	0	0	1
reconcili	0	0	1
rafraich	0	0	1
regal	0	0	1
royal	0	0	1
rejouiss	0	0	1
rajeun	0	0	1
soulag	0	0	1
remed	0	0	1
remiss	0	0	1
reput	0	0	1
bon reput	0	0	1
respect	0	0	1
respectu	0	0	1
resplend	0	0	1
respons	0	0	1
irrespons	1	0	0
repondr a mes besoin	0	0	1
repondr aux besoin	0	0	1
revitalis	0	0	1
revivr	0	0	1
raviv	0	0	1
recompens	0	0	1
richess	0	0	1
plus rich	0	0	1
droit	0	0	1
vertueux	0	0	1
justic	0	0	1
legitim	0	0	1
just titr	0	0	1
justess	0	0	1
sans risqu	0	0	1
sur	0	0	1
robust	0	0	1
rock star	0	0	1
rockstar	0	0	1
romant	0	0	1
romanc	0	0	1
spacieux	0	0	1
ros	0	0	1
secur	0	0	1
insecur	1	0	0
sag	0	0	1
salutair	0	0	1
salu	0	0	1
satisfais	0	0	1
sauveur	0	0	1
transparent	0	0	1
respect de soi	0	0	1
autosatisfact	0	0	1
autosuffis	0	0	1
sensationnel	0	0	1
sensat	0	0	1
sens	0	0	1
insens	1	0	0
sensibl	0	0	1
serein	0	0	1
seren	0	0	1
sexy	0	0	1
net	0	0	1
simpl	1	0	0
simplist	1	0	0
simplifi	0	0	1
plus intelligent	0	0	1
sourir	0	0	1
souri	0	0	1
liss	0	0	1
adouc	0	0	1
douceur	0	0	1
sociabl	0	0	1
sollicitud	0	0	1
solid	0	0	1
solidar	0	0	1
apais	0	0	1
sophistiqu	0	0	1
spectaculair	0	0	1
splendid	0	0	1
splendeur	0	0	1
spontan	0	0	1
sportif	0	0	1
enjou	0	0	1
stabl	0	0	1
stabilis	0	0	1
inoxyd	0	0	1
fermet	0	0	1
inebranl	0	0	1
plus stabl	0	0	1
constanc	0	0	1
emouv	0	0	1
stylis	0	0	1
sublim	0	0	1
subvention	0	0	1
reuss	0	0	1
succes	0	0	1
reussit	0	0	1
conven	0	0	1
somptuos	0	0	1
sup	0	0	1
superior	0	0	1
souten	0	0	1
partisan	0	0	1
soutien	0	0	1
prend en charg	0	0	1
pris en charg	0	0	1
supremat	0	0	1
suprem	0	0	1
surv	0	0	1
surviv	0	0	1
sucr	0	0	1
gent	0	0	1
gentil	0	0	1
talent	0	0	1
talentu	0	0	1
allech	0	0	1
pas terribl	1	0	0
tenac	0	0	1
tendr	0	0	1
opportun	0	0	1
toler	0	0	1
haut de gamm	0	0	1
haut niveau	0	0	1
dur	1	0	0
plus simpl	0	0	1
tresor	0	0	1
enorm	0	0	1
triomph	0	0	1
troph	0	0	1
dign de confianc	0	0	1
abus de confianc	1	0	0
verid	0	0	1
verac	0	0	1
imbatt	0	0	1
sans condit	0	0	1
intact	0	0	1
comprehensibl	0	0	1
incontest	0	0	1
indiscut	0	0	1
sans equivoqu	0	0	1
imperturb	0	0	1
sans entrav	0	0	1
inoubli	0	0	1
libr	0	0	1
evolut	0	0	1
utilis	0	0	1
inutilis	1	0	0
vaill	0	0	1
valeur	0	0	1
pas de valeur	1	0	0
diver	0	0	1
divers	0	0	1
vertu	0	0	1
verifi	0	0	1
victori	0	0	1
victoir	0	0	1
vigil	0	0	1
vivac	0	0	1
daign	0	0	1
mepr	1	0	0
mepris	1	0	0
dedaign	1	0	0
dedain	1	0	0
rechauff	0	0	1
bienvenu	0	0	1
bien accueil	0	0	1
mal accueil	1	0	0
bon intent	0	0	1
bien etre	0	0	1
bien inform	0	0	1
bien intention	0	0	1
bien fait	0	0	1
bien ger	0	0	1
bien position	0	0	1
bien recu	0	0	1
grandios	0	0	1
volont	0	0	1
laureat	0	0	1
remport	0	0	1
sagess	0	0	1
comiqu	1	0	0
wow	0	0	1
woow	0	0	1
wooow	0	0	1
woooow	0	0	1
seduit	0	0	1
seduir	0	0	1
epat	0	0	1
yay	0	0	1
zest	0	0	1
chouet	0	0	1
pas bien	1	0	0
pas mal	0	0	1
pas trop mal	0	0	1
bien situ	0	0	1
organis	0	0	1
trop bon	0	0	1
styl	0	0	1
raffin	0	0	1
bourgeois	0	0	1
familial	0	0	1
decontract	0	0	1
tres bon	0	0	1
soign	0	0	1
particuli soign	0	0	1
realism	0	0	1
point posit	0	0	1
seul bemol	1	0	0
grand qualit	0	0	1
qualit	0	0	1
ambianc	0	0	1
fluid	0	0	1
amour	0	0	1
bon rapport	0	0	1
bon comprom	0	0	1
rien a redir	0	0	1
rien a signal	0	0	1
rien a reproch	0	0	1
lux	0	0	1
pet prix	0	0	1
art	0	0	1
offre	0	0	1
offrir	0	0	1
cadeau	0	0	1
nombreux possibil	0	0	1
lumi	0	0	1
bon invest	0	0	1
savoir fair	0	0	1
longu longev	0	0	1
poes	0	0	1
pur bonheur	0	0	1
pas mech	0	0	1
bien pens	0	0	1
dechir	1	0	0
vif	0	0	1
viabl	0	0	1
fan	1	0	0
pas fan	1	0	0
implac	1	0	0
fashion	0	0	1
egal	0	0	1
fratern	0	0	1
arriv premi	0	0	1
solidair	0	0	1
ambit	0	0	1
bon nouvel	0	0	1
vrai	0	0	1
present	0	0	1
presenc	0	0	1
const	0	0	1
homogen	0	0	1
coeur	0	0	1
numb one	0	0	1
vari	0	0	1
grand plais	0	0	1
model reuss	0	0	1
anormal	1	0	0
abol	1	0	0
avort	1	0	0
annul	1	0	0
abomin	1	0	0
horribl	1	0	0
abandon	1	0	0
brusqu	1	0	0
prendr la fuit	1	0	0
pris la fuit	1	0	0
absenc	1	0	0
absent	1	0	0
absurd	1	0	0
abus	1	0	0
epouvant	1	0	0
abim	1	0	0
accidentel	1	0	0
maud	1	0	0
accus	1	0	0
agit	1	0	0
troubl	1	0	0
saccag	1	0	0
piqu	1	0	0
amer	1	0	0
aigr	1	0	0
acid	1	0	0
affreux	1	0	0
sauvag	1	0	0
atroc	1	0	0
grossi	1	0	0
antipath	1	0	0
acerb	1	0	0
mal	1	0	0
fais mal	1	0	0
fait mal	1	0	0
fair mal	1	0	0
douleur	1	0	0
doulour	1	0	0
acre	1	0	0
acrimoni	1	0	0
acrimon	1	0	0
toxicoman	1	0	0
intoxiqu	1	0	0
intox	1	0	0
avert	1	0	0
falsifi	1	0	0
contrefair	1	0	0
frelat	1	0	0
falsif	1	0	0
adulter	1	0	0
contradictoir	1	0	0
adversair	1	0	0
negat	1	0	0
advers	1	0	0
afflig	1	0	0
attrist	1	0	0
chagrin	1	0	0
injuri	1	0	0
rendr trist	1	0	0
rendu trist	1	0	0
pein	1	0	0
mal de tristess	1	0	0
plai	1	0	0
cris	1	0	0
malheur	1	0	0
tribul	1	0	0
peur	1	0	0
aggrav	1	0	0
agress	1	0	0
agresseur	1	0	0
les	1	0	0
atterr	1	0	0
agon	1	0	0
tourment	1	0	0
angoiss	1	0	0
echou	1	0	0
echec	1	0	0
en difficult	1	0	0
difficult	1	0	0
difficil	1	0	0
malad	1	0	0
sans but	1	0	0
sans rien	1	0	0
perdr	1	0	0
perdu	1	0	0
tout perdu	1	0	0
alarm	1	0	0
alien	1	0	0
fou	1	0	0
furieux	1	0	0
fou furieux	1	0	0
alleg	1	0	0
allegu	1	0	0
allerg	1	0	0
alterc	1	0	0
querel	1	0	0
bagarr	1	0	0
disput	1	0	0
chamailler	1	0	0
pris de bec	1	0	0
langu de bois	1	0	0
langu du bois	1	0	0
ambiguit	1	0	0
ambigu	1	0	0
hesit	1	0	0
traver	1	0	0
ambivalent	1	0	0
embuscad	1	0	0
amput	1	0	0
anarch	1	0	0
anem	1	0	0
coler	1	0	0
avec coler	1	0	0
animos	1	0	0
hostil	1	0	0
agac	1	0	0
ennui	1	0	0
desagr	1	0	0
facheux	1	0	0
fach	1	0	0
anomal	1	0	0
antagon	1	0	0
contrari	1	0	0
racism	1	0	0
racist	1	0	0
anti semit	1	0	0
anti blanc	1	0	0
paradoxal	1	0	0
paradox	1	0	0
inquietud	1	0	0
anxiet	1	0	0
anxieux	1	0	0
apath	1	0	0
apocalyps	1	0	0
apocalypt	1	0	0
epouvantail	1	0	0
constern	1	0	0
apprehens	1	0	0
inquiet	1	0	0
totalitair	1	0	0
archaiqu	1	0	0
ardu	1	0	0
aigu	1	0	0
rud	1	0	0
draconien	1	0	0
opaqu	1	0	0
arrog	1	0	0
honteux	1	0	0
idiot	1	0	0
mefianc	1	0	0
noirc	1	0	0
sal	1	0	0
attaqu	1	0	0
assassin	1	0	0
assaut	1	0	0
egar	1	0	0
tromp	1	0	0
impossibl	1	0	0
flagr	1	0	0
grav	1	0	0
laid	1	0	0
brut	1	0	0
effrai	1	0	0
sang	1	0	0
brutal	1	0	0
barbar	1	0	0
audac	1	0	0
sombr	1	0	0
fanat	1	0	0
boudeur	1	0	0
autoritair	1	0	0
autocrat	1	0	0
avalanch	1	0	0
ecroul	1	0	0
ruin	1	0	0
effondr	1	0	0
avaric	1	0	0
avar	1	0	0
mesquin	1	0	0
veng	1	0	0
vengeanc	1	0	0
revanch	1	0	0
hain	1	0	0
horreur	1	0	0
obsess	1	0	0
bizarr	1	0	0
bizarrer	1	0	0
mauvais odeur	1	0	0
mauvais humeur	1	0	0
nul	1	0	0
maladroit	1	0	0
maladress	1	0	0
bavard	1	0	0
babillag	1	0	0
mal au dos	1	0	0
mal de tet	1	0	0
maux de tet	1	0	0
medir	1	0	0
medis	1	0	0
retrograd	1	0	0
reactionneir	1	0	0
tier mond	1	0	0
mauv	1	0	0
deflect	1	0	0
devi	1	0	0
deconcert	1	0	0
perplex	1	0	0
derout	1	0	0
appeau	1	0	0
banal	1	0	0
banalis	1	0	0
fleau	1	0	0
bann	1	0	0
faillit	1	0	0
fair faillit	1	0	0
steril	1	0	0
sans fond	1	0	0
sans reflech	1	0	0
irreflech	1	0	0
frapp	1	0	0
defonc	1	0	0
timid	1	0	0
denigr	1	0	0
batard	1	0	0
battu	1	0	0
coup	1	0	0
coup de coeur	0	0	1
coup de foudr	1	0	0
toqu	1	0	0
dingu	1	0	0
bouffon	1	0	0
abrut	1	0	0
maboul	1	0	0
imbecil	1	0	0
cretin	1	0	0
tetu	1	0	0
chahut	1	0	0
chaos	1	0	0
bruit	1	0	0
brui	1	0	0
bouscul	1	0	0
bousculad	1	0	0
vacarm	1	0	0
souill	1	0	0
corrompr	1	0	0
corrompu	1	0	0
embrouill	1	0	0
pollu	1	0	0
pollut	1	0	0
tern	1	0	0
mel	1	0	0
mendi	1	0	0
miser	1	0	0
mendiqu	1	0	0
stigmatis	1	0	0
tardif	1	0	0
tardiv	1	0	0
dement	1	0	0
depreci	1	0	0
deplor	1	0	0
admonest	1	0	0
reproch	1	0	0
blam	1	0	0
depossed	1	0	0
deuil	1	0	0
priv	1	0	0
assaill	1	0	0
bestial	1	0	0
avid de sang	1	0	0
trah	1	0	0
trahison	1	0	0
trompeur	1	0	0
trompeux	1	0	0
traitr	1	0	0
lament	1	0	0
mefi	1	0	0
desorient	1	0	0
prejug	1	0	0
biais	1	0	0
bi	1	0	0
chamaill	1	0	0
truquag	1	0	0
truqu	1	0	0
bigoter	1	0	0
mordr	1	0	0
mord	1	0	0
argent facil	1	0	0
amertum	1	0	0
jas	1	0	0
chantag	1	0	0
blablabl	1	0	0
bla	1	0	0
blabl	1	0	0
peu enthousiast	1	0	0
glacial	1	0	0
blasphem	1	0	0
foudroi	1	0	0
foudr	1	0	0
foutr	1	0	0
rien a foutr	1	0	0
morn	1	0	0
paum	1	0	0
pal	1	0	0
paleux	1	0	0
menac	1	0	0
pitoi	1	0	0
tristess	1	0	0
saign	1	0	0
defaut	1	0	0
aveugl	1	0	0
obstruct	1	0	0
handicap	1	0	0
entrav	1	0	0
embarr	1	0	0
embarrass	1	0	0
sangl	1	0	0
fair saut	1	0	0
confondr	1	0	0
brouill	1	0	0
flou	1	0	0
lach	1	0	0
vantard	1	0	0
frim	1	0	0
frimeur	1	0	0
vant	1	0	0
faux	1	0	0
ebullit	1	0	0
tapag	1	0	0
fair du tapag	1	0	0
bomb	1	0	0
bombard	1	0	0
kamikaz	1	0	0
terror	1	0	0
esclavag	1	0	0
esclav	1	0	0
cingl	1	0	0
bousill	1	0	0
sans savoir	1	0	0
sabot	1	0	0
derang	1	0	0
expurg	1	0	0
censur	1	0	0
boycott	1	0	0
fanfaron	1	0	0
lavag de cerveau	1	0	0
impetu	1	0	0
indifferent	1	0	0
extravag	1	0	0
impetuos	1	0	0
imprudent	1	0	0
gamin	1	0	0
moch	1	0	0
bravad	1	0	0
effront	1	0	0
violat	1	0	0
viol	1	0	0
bris	1	0	0
pann	1	0	0
ruptur	1	0	0
corrupt	1	0	0
souffr	1	0	0
souffert	1	0	0
souffranc	1	0	0
fragil	1	0	0
cass	1	0	0
coeur bris	1	0	0
couv	1	0	0
intimid	1	0	0
traum	1	0	0
mutil	1	0	0
offens	1	0	0
choc	1	0	0
choqu	1	0	0
sous le choc	1	0	0
punais	1	0	0
put	1	0	0
putain	1	0	0
putin	1	0	0
merd	1	0	0
minc	1	0	0
encombr	1	0	0
conner	1	0	0
betis	1	0	0
fuck	1	0	0
niqu	1	0	0
clochard	1	0	0
heurt	1	0	0
cahot	1	0	0
abrupt	1	0	0
cochon	1	0	0
fardeau	1	0	0
surcharg	1	0	0
penibl	1	0	0
brul	1	0	0
brulur	1	0	0
caquet	1	0	0
calam	1	0	0
calamit	1	0	0
diffam	1	0	0
vendr la mech	1	0	0
vend la mech	1	0	0
vendu la mech	1	0	0
calomni	1	0	0
calomn	1	0	0
canc	1	0	0
cancer	1	0	0
cannibal	1	0	0
caprici	1	0	0
capric	1	0	0
neglig	1	0	0
negligent	1	0	0
carnag	1	0	0
massacr	1	0	0
tuer	1	0	0
fustig	1	0	0
castr	1	0	0
victim	1	0	0
cataclysm	1	0	0
catastroph	1	0	0
accident	1	0	0
holocaust	1	0	0
caustiqu	1	0	0
decept	1	0	0
chaotiqu	1	0	0
chati	1	0	0
chat	1	0	0
cac	1	0	0
chi	1	0	0
fair chi	1	0	0
fais chi	1	0	0
chiott	1	0	0
augment le prix	1	0	0
arnaqu	1	0	0
trich	1	0	0
tricheur	1	0	0
reprimand	1	0	0
pueril	1	0	0
enfantin	1	0	0
etouff	1	0	0
choler	1	0	0
houleux	1	0	0
clameur	1	0	0
cri	1	0	0
hurl	1	0	0
nuageux	1	0	0
desempar	1	0	0
complot	1	0	0
complic	1	0	0
connivent	1	0	0
commot	1	0	0
pas satisf	1	0	0
plaindr	1	0	0
plaint	1	0	0
complex	1	0	0
compliqu	1	0	0
compuls	1	0	0
vanit	1	0	0
preoccup	1	0	0
coupabl	1	0	0
condamn	1	0	0
confl	1	0	0
confondu	1	0	0
confus	1	0	0
confront	1	0	0
affront	1	0	0
conflictuel	1	0	0
congest	1	0	0
contre	1	0	0
pas pratiqu	1	0	0
conspir	1	0	0
terreur	1	0	0
paniqu	1	0	0
contagi	1	0	0
contamin	1	0	0
contenti	1	0	0
contorsion	1	0	0
contors	1	0	0
contredir	1	0	0
contred	1	0	0
contradict	1	0	0
contreven	1	0	0
envah	1	0	0
atteint aux droit	1	0	0
pas vrai	1	0	0
corrompt	1	0	0
couteux	1	0	0
contre product	1	0	0
putschist	1	0	0
cupid	1	0	0
vorac	1	0	0
fissur	1	0	0
cramp	1	0	0
excentr	1	0	0
atyp	1	0	0
pas normal	1	0	0
ridicul	1	0	0
merdiqu	1	0	0
ecras	1	0	0
fol	1	0	0
credul	1	0	0
terrifi	1	0	0
crim	1	0	0
criminel	1	0	0
paralys	1	0	0
estropi	1	0	0
critiqu	1	0	0
copinag	1	0	0
escroc	1	0	0
cruel	1	0	0
cruaut	1	0	0
effrit	1	0	0
fich le camp	1	0	0
pleur	1	0	0
lourd	1	0	0
chatt	1	0	0
maudir	1	0	0
maledict	1	0	0
cyniqu	1	0	0
cynism	1	0	0
pessim	1	0	0
chican	1	0	0
moqu	1	0	0
moquer	1	0	0
iron	1	0	0
dommag	1	0	0
deg	1	0	0
