0	1	2
champion	0	0	1
charisma	0	0	1
charismatic	0	0	1
charitable	0	0	1
charm	0	0	1
charming	0	0	1
charmingly	0	0	1
chaste	0	0	1
cheaper	0	0	1
cheapest	0	0	1
cheer	0	0	1
cheerful	0	0	1
cheery	0	0	1
cherish	0	0	1
cherished	0	0	1
cherub	0	0	1
chic	0	0	1
chivalrous	0	0	1
chivalry	0	0	1
civility	0	0	1
civilize	0	0	1
clarity	0	0	1
classic	0	0	1
classy	0	0	1
clean	0	0	1
cleaner	0	0	1
cleanest	0	0	1
cleanliness	0	0	1
cleanly	0	0	1
clear	0	0	1
clear-cut	0	0	1
cleared	0	0	1
clearer	0	0	1
clearly	0	0	1
clears	0	0	1
clever	0	0	1
cleverly	0	0	1
cohere	0	0	1
coherence	0	0	1
coherent	0	0	1
cohesive	0	0	1
colorful	0	0	1
comely	0	0	1
comfort	0	0	1
comfortable	0	0	1
comfortably	0	0	1
comforting	0	0	1
comfy	0	0	1
commend	0	0	1
commendable	0	0	1
commendably	0	0	1
commitment	0	0	1
commodious	0	0	1
compact	0	0	1
compactly	0	0	1
compassion	0	0	1
compassionate	0	0	1
compatible	0	0	1
competitive	0	0	1
complement	0	0	1
complementary	0	0	1
complemented	0	0	1
complements	0	0	1
compliant	0	0	1
compliment	0	0	1
complimentary	0	0	1
comprehensive	0	0	1
conciliate	0	0	1
conciliatory	0	0	1
concise	0	0	1
confidence	0	0	1
confident	0	0	1
congenial	0	0	1
congratulate	0	0	1
congratulation	0	0	1
congratulations	0	0	1
congratulatory	0	0	1
conscientious	0	0	1
considerate	0	0	1
consistent	0	0	1
consistently	0	0	1
constructive	0	0	1
consummate	0	0	1
contentment	0	0	1
continuity	0	0	1
contrasty	0	0	1
contribution	0	0	1
convenience	0	0	1
convenient	0	0	1
conveniently	0	0	1
convience	0	0	1
convienient	0	0	1
convient	0	0	1
convincing	0	0	1
convincingly	0	0	1
cool	0	0	1
coolest	0	0	1
cooperative	0	0	1
cooperatively	0	0	1
cornerstone	0	0	1
correct	0	0	1
correctly	0	0	1
cost-effective	0	0	1
cost-saving	0	0	1
counter-attack	0	0	1
counter-attacks	0	0	1
courage	0	0	1
courageous	0	0	1
courageously	0	0	1
courageousness	0	0	1
courteous	0	0	1
courtly	0	0	1
covenant	0	0	1
cozy	0	0	1
creative	0	0	1
credence	0	0	1
credible	0	0	1
crisp	0	0	1
crisper	0	0	1
cure	0	0	1
cure-all	0	0	1
cushy	0	0	1
cute	0	0	1
cuteness	0	0	1
danke	0	0	1
danken	0	0	1
daring	0	0	1
daringly	0	0	1
darling	0	0	1
dashing	0	0	1
dauntless	0	0	1
dawn	0	0	1
dazzle	0	0	1
dazzled	0	0	1
dazzling	0	0	1
dead-cheap	0	0	1
dead-on	0	0	1
decency	0	0	1
decent	0	0	1
decisive	0	0	1
decisiveness	0	0	1
dedicated	0	0	1
defeat	0	0	1
defeated	0	0	1
defeating	0	0	1
defeats	0	0	1
defender	0	0	1
deference	0	0	1
deft	0	0	1
deginified	0	0	1
delectable	0	0	1
delicacy	0	0	1
delicate	0	0	1
delicious	0	0	1
delight	0	0	1
delighted	0	0	1
delightful	0	0	1
delightfully	0	0	1
delightfulness	0	0	1
dependable	0	0	1
dependably	0	0	1
deservedly	0	0	1
deserving	0	0	1
desirable	0	0	1
desiring	0	0	1
desirous	0	0	1
destiny	0	0	1
detachable	0	0	1
devout	0	0	1
dexterous	0	0	1
dexterously	0	0	1
dextrous	0	0	1
dignified	0	0	1
dignify	0	0	1
dignity	0	0	1
diligence	0	0	1
diligent	0	0	1
diligently	0	0	1
diplomatic	0	0	1
dirt-cheap	0	0	1
distinction	0	0	1
distinctive	0	0	1
distinguished	0	0	1
diversified	0	0	1
divine	0	0	1
divinely	0	0	1
dominate	0	0	1
dominated	0	0	1
dominates	0	0	1
dote	0	0	1
dotingly	0	0	1
doubtless	0	0	1
dreamland	0	0	1
dumbfounded	0	0	1
dumbfounding	0	0	1
dummy-proof	0	0	1
durable	0	0	1
dynamic	0	0	1
eager	0	0	1
eagerly	0	0	1
eagerness	0	0	1
earnest	0	0	1
earnestly	0	0	1
earnestness	0	0	1
ease	0	0	1
eased	0	0	1
eases	0	0	1
easier	0	0	1
easiest	0	0	1
easiness	0	0	1
easing	0	0	1
easy	0	0	1
easy-to-use	0	0	1
easygoing	0	0	1
ebullience	0	0	1
ebullient	0	0	1
ebulliently	0	0	1
ecenomical	0	0	1
economical	0	0	1
ecstasies	0	0	1
ecstasy	0	0	1
ecstatic	0	0	1
ecstatically	0	0	1
edify	0	0	1
educated	0	0	1
effective	0	0	1
effectively	0	0	1
effectiveness	0	0	1
effectual	0	0	1
efficacious	0	0	1
efficient	0	0	1
efficiently	0	0	1
effortless	0	0	1
effortlessly	0	0	1
effusion	0	0	1
effusive	0	0	1
effusively	0	0	1
effusiveness	0	0	1
elan	0	0	1
elate	0	0	1
elated	0	0	1
elatedly	0	0	1
elation	0	0	1
electrify	0	0	1
elegance	0	0	1
elegant	0	0	1
elegantly	0	0	1
elevate	0	0	1
elite	0	0	1
eloquence	0	0	1
eloquent	0	0	1
eloquently	0	0	1
embolden	0	0	1
eminence	0	0	1
eminent	0	0	1
empathize	0	0	1
empathy	0	0	1
empower	0	0	1
empowerment	0	0	1
enchant	0	0	1
enchanted	0	0	1
enchanting	0	0	1
enchantingly	0	0	1
encourage	0	0	1
encouragement	0	0	1
encouraging	0	0	1
encouragingly	0	0	1
endear	0	0	1
endearing	0	0	1
endorse	0	0	1
endorsed	0	0	1
endorsement	0	0	1
endorses	0	0	1
endorsing	0	0	1
energetic	0	0	1
energize	0	0	1
energy-efficient	0	0	1
energy-saving	0	0	1
engaging	0	0	1
engrossing	0	0	1
enhance	0	0	1
enhanced	0	0	1
enhancement	0	0	1
enhances	0	0	1
enjoy	0	0	1
enjoyable	0	0	1
enjoyably	0	0	1
enjoyed	0	0	1
enjoying	0	0	1
enjoyment	0	0	1
enjoys	0	0	1
enlighten	0	0	1
enlightenment	0	0	1
enliven	0	0	1
ennoble	0	0	1
enough	0	0	1
enrapt	0	0	1
enrapture	0	0	1
enraptured	0	0	1
enrich	0	0	1
enrichment	0	0	1
enterprising	0	0	1
entertain	0	0	1
entertaining	0	0	1
entertains	0	0	1
enthral	0	0	1
enthrall	0	0	1
enthralled	0	0	1
enthuse	0	0	1
enthusiasm	0	0	1
enthusiast	0	0	1
enthusiastic	0	0	1
enthusiastically	0	0	1
entice	0	0	1
enticed	0	0	1
enticing	0	0	1
enticingly	0	0	1
entranced	0	0	1
entrancing	0	0	1
entrust	0	0	1
enviable	0	0	1
enviably	0	0	1
envious	0	0	1
enviously	0	0	1
enviousness	0	0	1
envy	0	0	1
equitable	0	0	1
ergonomical	0	0	1
err-free	0	0	1
erudite	0	0	1
ethical	0	0	1
eulogize	0	0	1
euphoria	0	0	1
euphoric	0	0	1
euphorically	0	0	1
evaluative	0	0	1
evenly	0	0	1
eventful	0	0	1
everlasting	0	0	1
evocative	0	0	1
exalt	0	0	1
exaltation	0	0	1
exalted	0	0	1
exaltedly	0	0	1
exalting	0	0	1
exaltingly	0	0	1
examplar	0	0	1
examplary	0	0	1
excallent	0	0	1
exceed	0	0	1
exceeded	0	0	1
exceeding	0	0	1
exceedingly	0	0	1
exceeds	0	0	1
excel	0	0	1
exceled	0	0	1
excelent	0	0	1
excellant	0	0	1
excelled	0	0	1
excellence	0	0	1
excellency	0	0	1
excellent	0	0	1
excellently	0	0	1
excels	0	0	1
exceptional	0	0	1
exceptionally	0	0	1
excite	0	0	1
excited	0	0	1
excitedly	0	0	1
excitedness	0	0	1
excitement	0	0	1
excites	0	0	1
exciting	0	0	1
excitingly	0	0	1
exellent	0	0	1
exemplar	0	0	1
exemplary	0	0	1
exhilarate	0	0	1
exhilarating	0	0	1
exhilaratingly	0	0	1
exhilaration	0	0	1
exonerate	0	0	1
expansive	0	0	1
expeditiously	0	0	1
expertly	0	0	1
exquisite	0	0	1
exquisitely	0	0	1
extol	0	0	1
extoll	0	0	1
extraordinarily	0	0	1
extraordinary	0	0	1
exuberance	0	0	1
exuberant	0	0	1
exuberantly	0	0	1
exult	0	0	1
exultant	0	0	1
exultation	0	0	1
exultingly	0	0	1
eye-catch	0	0	1
eye-catching	0	0	1
eyecatch	0	0	1
eyecatching	0	0	1
fabulous	0	0	1
fabulously	0	0	1
facilitate	0	0	1
fair	0	0	1
fairly	0	0	1
fairness	0	0	1
faith	0	0	1
faithful	0	0	1
faithfully	0	0	1
faithfulness	0	0	1
fame	0	0	1
famed	0	0	1
famous	0	0	1
famously	0	0	1
fancier	0	0	1
fancinating	0	0	1
fancy	0	0	1
fanfare	0	0	1
fans	0	0	1
fantastic	0	0	1
fantastically	0	0	1
fascinate	0	0	1
fascinating	0	0	1
fascinatingly	0	0	1
fascination	0	0	1
fashionable	0	0	1
fashionably	0	0	1
fast	0	0	1
fast-growing	0	0	1
fast-paced	0	0	1
faster	0	0	1
fastest	0	0	1
fastest-growing	0	0	1
faultless	0	0	1
fav	0	0	1
fave	0	0	1
favor	0	0	1
favorable	0	0	1
favored	0	0	1
favorite	0	0	1
favorited	0	0	1
favour	0	0	1
fearless	0	0	1
fearlessly	0	0	1
feasible	0	0	1
feasibly	0	0	1
feat	0	0	1
feature-rich	0	0	1
fecilitous	0	0	1
feisty	0	0	1
felicitate	0	0	1
felicitous	0	0	1
felicity	0	0	1
fertile	0	0	1
fervent	0	0	1
fervently	0	0	1
fervid	0	0	1
fervidly	0	0	1
fervor	0	0	1
festive	0	0	1
fidelity	0	0	1
fiery	0	0	1
fine	0	0	1
fine-looking	0	0	1
finely	0	0	1
finer	0	0	1
finest	0	0	1
firmer	0	0	1
first-class	0	0	1
first-in-class	0	0	1
first-rate	0	0	1
flashy	0	0	1
flatter	0	0	1
flattering	0	0	1
flatteringly	0	0	1
flawless	0	0	1
flawlessly	0	0	1
flexibility	0	0	1
flexible	0	0	1
flourish	0	0	1
flourishing	0	0	1
fluent	0	0	1
flutter	0	0	1
fond	0	0	1
fondly	0	0	1
fondness	0	0	1
foolproof	0	0	1
foremost	0	0	1
foresight	0	0	1
formidable	0	0	1
fortitude	0	0	1
fortuitous	0	0	1
fortuitously	0	0	1
fortunate	0	0	1
fortunately	0	0	1
fortune	0	0	1
fragrant	0	0	1
free	0	0	1
freed	0	0	1
freedom	0	0	1
freedoms	0	0	1
fresh	0	0	1
fresher	0	0	1
freshest	0	0	1
friendliness	0	0	1
friendly	0	0	1
frolic	0	0	1
frugal	0	0	1
fruitful	0	0	1
ftw	0	0	1
fulfillment	0	0	1
fun	0	0	1
futurestic	0	0	1
futuristic	0	0	1
gaiety	0	0	1
gaily	0	0	1
gain	0	0	1
gained	0	0	1
gainful	0	0	1
gainfully	0	0	1
gaining	0	0	1
gains	0	0	1
gallant	0	0	1
gallantly	0	0	1
galore	0	0	1
geekier	0	0	1
geeky	0	0	1
gem	0	0	1
gems	0	0	1
generosity	0	0	1
generous	0	0	1
generously	0	0	1
genial	0	0	1
genius	0	0	1
gentle	0	0	1
gentlest	0	0	1
genuine	0	0	1
gifted	0	0	1
glad	0	0	1
gladden	0	0	1
gladly	0	0	1
gladness	0	0	1
glamorous	0	0	1
glee	0	0	1
gleeful	0	0	1
gleefully	0	0	1
glimmer	0	0	1
glimmering	0	0	1
glisten	0	0	1
glistening	0	0	1
glitter	0	0	1
glitz	0	0	1
glorify	0	0	1
glorious	0	0	1
gloriously	0	0	1
glory	0	0	1
glow	0	0	1
glowing	0	0	1
glowingly	0	0	1
god-given	0	0	1
god-send	0	0	1
godlike	0	0	1
godsend	0	0	1
gold	0	0	1
golden	0	0	1
good	0	0	1
goodly	0	0	1
goodness	0	0	1
goodwill	0	0	1
goood	0	0	1
gooood	0	0	1
gorgeous	0	0	1
gorgeously	0	0	1
grace	0	0	1
graceful	0	0	1
gracefully	0	0	1
gracious	0	0	1
graciously	0	0	1
graciousness	0	0	1
grand	0	0	1
grandeur	0	0	1
grateful	0	0	1
gratefully	0	0	1
gratification	0	0	1
gratified	0	0	1
gratifies	0	0	1
gratify	0	0	1
gratifying	0	0	1
gratifyingly	0	0	1
gratitude	0	0	1
great	0	0	1
greatest	0	0	1
greatness	0	0	1
grin	0	0	1
groundbreaking	0	0	1
guarantee	0	0	1
guidance	0	0	1
guiltless	0	0	1
gumption	0	0	1
gush	0	0	1
gusto	0	0	1
gutsy	0	0	1
hail	0	0	1
halcyon	0	0	1
hale	0	0	1
hallmark	0	0	1
hallmarks	0	0	1
hallowed	0	0	1
handier	0	0	1
handily	0	0	1
hands-down	0	0	1
handsome	0	0	1
handsomely	0	0	1
handy	0	0	1
happier	0	0	1
happily	0	0	1
happiness	0	0	1
happy	0	0	1
hard-working	0	0	1
hardier	0	0	1
hardy	0	0	1
harmless	0	0	1
harmonious	0	0	1
harmoniously	0	0	1
harmonize	0	0	1
harmony	0	0	1
headway	0	0	1
heal	0	0	1
healthful	0	0	1
healthy	0	0	1
hearten	0	0	1
heartening	0	0	1
heartfelt	0	0	1
heartily	0	0	1
heartwarming	0	0	1
heaven	0	0	1
heavenly	0	0	1
helped	0	0	1
helpful	0	0	1
helping	0	0	1
hero	0	0	1
heroic	0	0	1
heroically	0	0	1
heroine	0	0	1
heroize	0	0	1
heros	0	0	1
high-quality	0	0	1
high-spirited	0	0	1
hilarious	0	0	1
holy	0	0	1
homage	0	0	1
honest	0	0	1
honesty	0	0	1
honor	0	0	1
honorable	0	0	1
honored	0	0	1
honoring	0	0	1
hooray	0	0	1
hopeful	0	0	1
hospitable	0	0	1
hot	0	0	1
hotcake	0	0	1
hotcakes	0	0	1
hottest	0	0	1
hug	0	0	1
humane	0	0	1
humble	0	0	1
humility	0	0	1
humor	0	0	1
humorous	0	0	1
humorously	0	0	1
humour	0	0	1
humourous	0	0	1
ideal	0	0	1
idealize	0	0	1
ideally	0	0	1
idol	0	0	1
idolize	0	0	1
idolized	0	0	1
idyllic	0	0	1
illuminate	0	0	1
illuminati	0	0	1
illuminating	0	0	1
illumine	0	0	1
illustrious	0	0	1
ilu	0	0	1
imaculate	0	0	1
imaginative	0	0	1
immaculate	0	0	1
immaculately	0	0	1
immense	0	0	1
impartial	0	0	1
impartiality	0	0	1
impartially	0	0	1
impassioned	0	0	1
impeccable	0	0	1
impeccably	0	0	1
important	0	0	1
impress	0	0	1
impressed	0	0	1
impresses	0	0	1
impressive	0	0	1
impressively	0	0	1
impressiveness	0	0	1
improve	0	0	1
improved	0	0	1
improvement	0	0	1
improvements	0	0	1
improves	0	0	1
improving	0	0	1
incredible	0	0	1
incredibly	0	0	1
indebted	0	0	1
individualized	0	0	1
indulgence	0	0	1
indulgent	0	0	1
industrious	0	0	1
inestimable	0	0	1
inestimably	0	0	1
inexpensive	0	0	1
infallibility	0	0	1
infallible	0	0	1
infallibly	0	0	1
influential	0	0	1
ingenious	0	0	1
ingeniously	0	0	1
ingenuity	0	0	1
ingenuous	0	0	1
ingenuously	0	0	1
innocuous	0	0	1
innovation	0	0	1
innovative	0	0	1
inpressed	0	0	1
insightful	0	0	1
insightfully	0	0	1
inspiration	0	0	1
inspirational	0	0	1
inspire	0	0	1
inspiring	0	0	1
instantly	0	0	1
instructive	0	0	1
instrumental	0	0	1
integral	0	0	1
integrated	0	0	1
intelligence	0	0	1
intelligent	0	0	1
intelligible	0	0	1
interesting	0	0	1
interests	0	0	1
intimacy	0	0	1
intimate	0	0	1
intricate	0	0	1
intrigue	0	0	1
intriguing	0	0	1
intriguingly	0	0	1
intuitive	0	0	1
invaluable	0	0	1
invaluablely	0	0	1
inventive	0	0	1
invigorate	0	0	1
invigorating	0	0	1
invincibility	0	0	1
invincible	0	0	1
inviolable	0	0	1
inviolate	0	0	1
invulnerable	0	0	1
irreplaceable	0	0	1
irreproachable	0	0	1
irresistible	0	0	1
irresistibly	0	0	1
issue-free	0	0	1
jaw-droping	0	0	1
jaw-dropping	0	0	1
jollify	0	0	1
jolly	0	0	1
jovial	0	0	1
joy	0	0	1
joyful	0	0	1
joyfully	0	0	1
joyous	0	0	1
joyously	0	0	1
jubilant	0	0	1
jubilantly	0	0	1
jubilate	0	0	1
jubilation	0	0	1
jubiliant	0	0	1
judicious	0	0	1
justly	0	0	1
keen	0	0	1
keenly	0	0	1
keenness	0	0	1
kid-friendly	0	0	1
kindliness	0	0	1
kindly	0	0	1
kindness	0	0	1
knowledgeable	0	0	1
kudos	0	0	1
large-capacity	0	0	1
laud	0	0	1
laudable	0	0	1
laudably	0	0	1
lavish	0	0	1
lavishly	0	0	1
law-abiding	0	0	1
lawful	0	0	1
lawfully	0	0	1
lead	0	0	1
leading	0	0	1
leads	0	0	1
lean	0	0	1
led	0	0	1
legendary	0	0	1
leverage	0	0	1
levity	0	0	1
liberate	0	0	1
liberation	0	0	1
liberty	0	0	1
lifesaver	0	0	1
light-hearted	0	0	1
lighter	0	0	1
likable	0	0	1
like	0	0	1
liked	0	0	1
likes	0	0	1
liking	0	0	1
lionhearted	0	0	1
lively	0	0	1
logical	0	0	1
long-lasting	0	0	1
lovable	0	0	1
lovably	0	0	1
love	0	0	1
loved	0	0	1
loveliness	0	0	1
lovely	0	0	1
lover	0	0	1
loves	0	0	1
loving	0	0	1
low-cost	0	0	1
low-price	0	0	1
low-priced	0	0	1
low-risk	0	0	1
lower-priced	0	0	1
loyal	0	0	1
loyalty	0	0	1
lucid	0	0	1
lucidly	0	0	1
luck	0	0	1
luckier	0	0	1
luckiest	0	0	1
luckiness	0	0	1
lucky	0	0	1
lucrative	0	0	1
luminous	0	0	1
lush	0	0	1
luster	0	0	1
lustrous	0	0	1
luxuriant	0	0	1
luxuriate	0	0	1
luxurious	0	0	1
luxuriously	0	0	1
luxury	0	0	1
lyrical	0	0	1
magic	0	0	1
magical	0	0	1
magnanimous	0	0	1
magnanimously	0	0	1
magnificence	0	0	1
magnificent	0	0	1
magnificently	0	0	1
majestic	0	0	1
majesty	0	0	1
manageable	0	0	1
maneuverable	0	0	1
marvel	0	0	1
marveled	0	0	1
marvelled	0	0	1
marvellous	0	0	1
marvelous	0	0	1
marvelously	0	0	1
marvelousness	0	0	1
marvels	0	0	1
master	0	0	1
masterful	0	0	1
masterfully	0	0	1
masterpiece	0	0	1
masterpieces	0	0	1
masters	0	0	1
mastery	0	0	1
matchless	0	0	1
mature	0	0	1
maturely	0	0	1
maturity	0	0	1
meaningful	0	0	1
memorable	0	0	1
merciful	0	0	1
mercifully	0	0	1
mercy	0	0	1
merit	0	0	1
meritorious	0	0	1
merrily	0	0	1
merriment	0	0	1
merriness	0	0	1
merry	0	0	1
mesmerize	0	0	1
mesmerized	0	0	1
mesmerizes	0	0	1
mesmerizing	0	0	1
mesmerizingly	0	0	1
meticulous	0	0	1
meticulously	0	0	1
mightily	0	0	1
mighty	0	0	1
mind-blowing	0	0	1
miracle	0	0	1
miracles	0	0	1
miraculous	0	0	1
miraculously	0	0	1
miraculousness	0	0	1
modern	0	0	1
modest	0	0	1
modesty	0	0	1
momentous	0	0	1
monumental	0	0	1
monumentally	0	0	1
morality	0	0	1
motivated	0	0	1
multi-purpose	0	0	1
navigable	0	0	1
neat	0	0	1
neatest	0	0	1
neatly	0	0	1
nice	0	0	1
nicely	0	0	1
nicer	0	0	1
nicest	0	0	1
nifty	0	0	1
nimble	0	0	1
noble	0	0	1
nobly	0	0	1
noiseless	0	0	1
non-violence	0	0	1
non-violent	0	0	1
notably	0	0	1
noteworthy	0	0	1
nourish	0	0	1
nourishing	0	0	1
nourishment	0	0	1
novelty	0	0	1
nurturing	0	0	1
oasis	0	0	1
obsession	0	0	1
obsessions	0	0	1
obtainable	0	0	1
openly	0	0	1
openness	0	0	1
optimal	0	0	1
optimism	0	0	1
optimistic	0	0	1
opulent	0	0	1
orderly	0	0	1
originality	0	0	1
outdo	0	0	1
outdone	0	0	1
outperform	0	0	1
outperformed	0	0	1
outperforming	0	0	1
outperforms	0	0	1
outshine	0	0	1
outshone	0	0	1
outsmart	0	0	1
outstanding	0	0	1
outstandingly	0	0	1
outstrip	0	0	1
outwit	0	0	1
ovation	0	0	1
overjoyed	0	0	1
overtake	0	0	1
overtaken	0	0	1
overtakes	0	0	1
overtaking	0	0	1
overtook	0	0	1
overture	0	0	1
pain-free	0	0	1
painless	0	0	1
painlessly	0	0	1
palatial	0	0	1
pamper	0	0	1
pampered	0	0	1
pamperedly	0	0	1
pamperedness	0	0	1
pampers	0	0	1
panoramic	0	0	1
paradise	0	0	1
paramount	0	0	1
pardon	0	0	1
passion	0	0	1
passionate	0	0	1
passionately	0	0	1
patience	0	0	1
patient	0	0	1
patiently	0	0	1
patriot	0	0	1
patriotic	0	0	1
peace	0	0	1
peaceable	0	0	1
peaceful	0	0	1
peacefully	0	0	1
peacekeepers	0	0	1
peach	0	0	1
peerless	0	0	1
pep	0	0	1
pepped	0	0	1
pepping	0	0	1
peppy	0	0	1
peps	0	0	1
perfect	0	0	1
perfection	0	0	1
perfectly	0	0	1
permissible	0	0	1
perseverance	0	0	1
persevere	0	0	1
personages	0	0	1
personalized	0	0	1
phenomenal	0	0	1
phenomenally	0	0	1
picturesque	0	0	1
piety	0	0	1
pinnacle	0	0	1
playful	0	0	1
playfully	0	0	1
pleasant	0	0	1
pleasantly	0	0	1
pleased	0	0	1
pleases	0	0	1
pleasing	0	0	1
pleasingly	0	0	1
pleasurable	0	0	1
pleasurably	0	0	1
pleasure	0	0	1
plentiful	0	0	1
pluses	0	0	1
plush	0	0	1
plusses	0	0	1
poetic	0	0	1
poeticize	0	0	1
poignant	0	0	1
poise	0	0	1
poised	0	0	1
polished	0	0	1
polite	0	0	1
politeness	0	0	1
popular	0	0	1
portable	0	0	1
posh	0	0	1
positive	0	0	1
positively	0	0	1
positives	0	0	1
powerful	0	0	1
powerfully	0	0	1
praise	0	0	1
praiseworthy	0	0	1
praising	0	0	1
pre-eminent	0	0	1
precious	0	0	1
precise	0	0	1
precisely	0	0	1
preeminent	0	0	1
prefer	0	0	1
preferable	0	0	1
preferably	0	0	1
prefered	0	0	1
preferes	0	0	1
preferring	0	0	1
prefers	0	0	1
premier	0	0	1
prestige	0	0	1
prestigious	0	0	1
prettily	0	0	1
pretty	0	0	1
priceless	0	0	1
pride	0	0	1
principled	0	0	1
privilege	0	0	1
privileged	0	0	1
prize	0	0	1
proactive	0	0	1
problem-free	0	0	1
